HIP,RAdeg,DEdeg,Vmag,Plx,e_Plx,pmRA,pmDE,e_pmRA,e_pmDE,B-V,e_B-V,V-I,BTmag,VTmag,Hpmag,SpType,VarFlag,MultFlag,distance_pc,Abs_Vmag,logL_solar,Teff_K
25,101.579443,60.567762,8.72,194.85140821654508,0.41,-7.81,-15.52,1.69,0.57,1.54,0.004,1.679,10.029,8.846,8.548,M0 V,,,5.1,10.169,-2.1356,3734.0
26,276.571416,56.396373,9.37,562.0356154826693,0.5,-32.01,-31.81,1.43,1.0,1.011,0.02,1.082,10.226,9.469,9.272,,,,1.8,13.119,-3.3156,4716.0
27,287.252423,47.870647,7.49,197.3876250233305,1.6,-74.58,67.75,1.45,0.3,1.567,0.006,1.835,8.823,7.628,7.335,,,,5.1,8.967,-1.6548,3695.0
28,195.853391,10.506622,7.22,231.3839615821091,1.52,-100.93,-42.13,1.53,2.21,1.354,0.011,1.413,8.34,7.341,7.082,,,,4.3,9.042,-1.6848,4027.0
29,137.774747,-4.405885,10.82,430.71885117596196,0.68,-63.49,11.39,0.84,1.39,-0.03,0.02,0.011,10.772,10.818,10.818,,,O,2.3,13.991,-3.6644,10516.0
30,137.394342,10.33228,10.04,333.4273551652385,1.78,-96.89,-11.07,2.04,1.13,1.344,0.011,1.539,11.199,10.146,9.924,M6 V,,,3.0,12.655,-3.13,4044.0
31,102.89786,10.98406,5.89,459.8068691885715,0.84,-23.34,33.53,1.11,1.57,1.461,0.016,1.639,7.117,6.015,5.741,,,,2.2,9.203,-1.7492,3853.0
32,266.496535,-29.955803,10.5,246.77661576862047,0.71,8.03,38.32,1.52,0.51,1.11,0.027,1.292,11.392,10.607,10.394,K3 V,,V,4.1,12.462,-3.0528,4493.0
33,86.03526,-76.524297,8.91,240.26717177729958,0.84,38.61,35.08,2.82,0.3,1.619,0.001,1.775,10.283,9.038,8.744,M5 III,,,4.2,10.813,-2.3932,3623.0
34,157.579814,43.685326,5.36,482.4225928826604,0.68,-29.94,-50.87,1.22,1.49,1.736,0.018,1.801,6.855,5.532,5.194,M2 V,,,2.1,8.777,-1.5788,3470.0
35,318.073933,-68.35908,9.77,640.7346521893227,0.53,-4.83,-3.84,0.3,0.71,1.551,0.023,1.795,11.075,9.909,9.61,M3 V,C,,1.6,13.803,-3.5892,3718.0
36,104.141211,26.54879,8.18,428.80769945846976,0.6,5.53,-25.75,0.35,1.1,1.419,0.028,1.63,9.371,8.292,8.041,,,,2.3,11.341,-2.6044,3920.0
37,282.422469,-69.037453,9.16,252.89479009461982,1.68,-12.23,-40.64,1.51,1.15,1.657,0.009,1.855,10.562,9.304,8.997,M1 V,,V,4.0,11.175,-2.538,3572.0
38,273.223316,59.570488,8.14,686.8328013321933,1.0,-54.44,-17.45,0.54,0.69,0.644,0.005,0.68,8.7,8.181,8.069,G2 III,,G,1.5,12.324,-2.9976,5800.0
39,150.402739,74.744089,8.7,386.2367985914665,1.35,51.41,69.27,1.52,1.07,1.536,0.009,1.687,10.017,8.859,8.553,M9 V,,,2.6,11.634,-2.7216,3740.0
40,81.276756,-78.57908,9.31,463.95721006422804,0.96,-29.93,43.24,0.48,1.14,1.485,0.016,1.694,10.57,9.445,9.145,,,,2.2,12.642,-3.1248,3816.0
41,151.23533,-18.632004,12.5,200.78063522158905,0.23,19.37,-40.82,0.93,0.99,1.085,0.022,1.173,13.441,12.619,12.381,K1 V,,,5.0,14.014,-3.6736,4548.0
42,23.170929,-21.965765,8.7,380.6870064919633,1.31,-11.2,-2.74,1.98,1.45,1.456,0.013,1.545,9.95,8.824,8.553,M1 V,,,2.6,11.603,-2.7092,3861.0
43,214.715767,-69.762772,9.1,745.0812981124488,1.05,18.93,-3.05,2.89,0.71,0.082,0.003,0.055,9.154,9.097,9.094,A9 V,,,1.3,13.461,-3.4524,9205.0
44,301.43654,7.622155,8.71,262.9156665423517,1.07,-4.68,96.1,0.94,1.03,1.496,0.019,1.743,9.987,8.834,8.549,M6 V,,O,3.8,10.809,-2.3916,3800.0
45,321.295099,56.963289,6.6,369.78416695376114,0.44,2.61,-61.51,0.69,0.82,1.44,0.015,1.687,7.829,6.722,6.463,M5 II,,,2.7,9.44,-1.844,3886.0
46,72.18988,65.949783,4.64,269.53658198408084,1.44,-65.76,-33.53,0.84,1.26,1.411,0.014,1.631,5.86,4.758,4.485,,,,3.7,6.793,-0.7852,3932.0
47,180.862284,-14.995229,8.99,441.69231552748005,0.45,-53.15,-44.57,0.48,1.91,1.296,0.014,1.466,10.094,9.11,8.875,M9 V,,,2.3,12.216,-2.9544,4129.0
48,322.337464,53.883025,10.38,664.6343211536752,1.99,34.1,-72.88,0.87,2.18,1.35,0.011,1.55,11.499,10.5,10.23,M1 V,,,1.5,14.493,-3.8652,4034.0
49,92.131535,-37.096346,11.03,359.00480768915264,1.09,-38.89,-7.76,0.82,1.2,0.442,0.01,0.53,11.392,11.077,10.977,F0 V,,,2.8,13.806,-3.5904,6664.0
50,312.203643,-35.259379,10.26,624.2949289536465,0.56,10.77,71.58,0.88,1.82,1.473,0.013,1.605,11.541,10.405,10.124,,,,1.6,14.237,-3.7628,3835.0
51,5.935657,65.848785,7.27,517.7363433192538,0.86,-37.83,51.86,0.71,0.85,1.475,0.009,1.613,8.539,7.386,7.129,,P,,1.9,10.841,-2.4044,3832.0
52,198.898904,-16.691189,8.85,716.6047442745164,1.21,60.19,25.0,0.93,1.88,1.47,0.024,1.587,10.066,8.994,8.703,M7 V,C,,1.4,13.126,-3.3184,3839.0
53,190.045939,-2.154963,8.22,667.1647148260062,1.18,-100.14,28.65,1.49,0.81,1.484,0.021,1.603,9.469,8.341,8.069,,,,1.5,12.341,-3.0044,3818.0
54,332.406139,-39.941101,6.01,488.0416138572401,1.13,-80.12,20.48,0.94,0.42,1.071,0.025,1.208,6.948,6.111,5.905,,,,2.0,9.452,-1.8488,4578.0
55,88.54144,-61.942519,5.78,261.5873477181981,2.02,-81.18,7.05,0.9,0.59,1.386,0.013,1.574,6.97,5.91,5.649,,,,3.8,7.868,-1.2152,3973.0
56,23.046615,-44.077136,9.48,424.22449036987354,0.2,4.59,27.47,1.7,0.82,1.565,0.022,1.751,10.804,9.626,9.327,M8 III,,,2.4,12.618,-3.1152,3698.0
57,324.757694,-61.300266,7.79,239.17514048232798,1.02,33.88,-12.01,1.71,0.81,0.059,0.014,0.094,7.875,7.8,7.769,,,,4.2,9.684,-1.9416,9444.0
58,314.654328,-24.363829,11.42,380.66104264045003,0.2,8.1,-25.6,2.0,0.3,0.541,0.007,0.567,11.896,11.459,11.358,F0 V,,,2.6,14.323,-3.7972,6209.0
59,58.920225,7.080798,11.48,117.8496587713788,0.2,-58.06,20.78,1.72,2.33,1.489,0.024,1.584,12.738,11.622,11.331,M3 V,,,8.5,11.837,-2.8028,3810.0
60,359.90687,-51.968262,7.09,526.7379666425284,0.83,10.86,33.78,1.12,0.94,0.452,0.03,0.301,7.505,7.13,7.06,F8 IV,,,1.9,10.698,-2.3472,6615.0
61,124.849429,-49.334894,8.64,381.7064498246085,0.72,17.33,0.43,1.14,1.3,-0.152,0.017,-0.24,8.511,8.621,8.642,B8 V,,,2.6,11.549,-2.6876,12529.0
62,112.636137,1.14663,5.62,571.0448936249174,0.33,-24.44,61.68,2.08,1.13,1.383,0.004,1.507,6.793,5.752,5.497,,,,1.8,9.403,-1.8292,3978.0
63,304.957448,16.487294,7.81,472.053935283795,0.66,70.43,18.73,1.42,0.34,-0.006,0.01,-0.087,7.835,7.826,7.812,A0 V,,,2.1,11.18,-2.54,10201.0
64,316.883197,-38.566427,5.94,697.6399160050244,0.9,-9.41,23.26,1.49,2.04,1.473,0.015,1.67,7.18,6.075,5.807,M8 V,,O,1.4,10.158,-2.1312,3835.0
65,243.561115,0.051316,7.78,701.2445255687751,1.69,0.06,-26.19,1.81,1.91,-0.121,0.025,-0.117,7.672,7.75,7.772,,,,1.4,12.009,-2.8716,11938.0
66,19.323056,3.913424,7.1,634.8851068765562,1.45,31.77,32.95,0.3,0.59,1.545,0.03,1.655,8.393,7.241,6.938,M4 Ib,,,1.6,11.113,-2.5132,3727.0
67,201.316958,-68.13622,8.79,547.775569414235,1.49,4.74,29.22,1.47,0.62,0.288,0.007,0.353,9.019,8.819,8.751,F9 IV,,,1.8,12.483,-3.0612,7539.0
68,250.024659,-41.901532,10.66,439.84539167333463,0.92,51.8,-45.15,1.42,1.83,1.23,0.022,1.374,11.679,10.772,10.549,,C,,2.3,13.877,-3.6188,4251.0
69,296.711029,-36.614089,10.15,723.2094171912827,0.32,16.0,24.78,0.81,2.74,1.371,0.012,1.421,11.354,10.288,9.995,,,,1.4,14.446,-3.8464,3998.0
70,112.114317,33.777666,6.55,294.0463478300694,0.43,-7.82,61.81,0.88,1.28,1.114,0.025,1.278,7.492,6.661,6.421,K7 V,C,,3.4,8.892,-1.6248,4485.0
71,181.882995,35.738379,6.6,427.7103699509783,0.98,-28.29,-9.86,1.61,1.38,1.476,0.002,1.671,7.856,6.736,6.465,M5 III,,,2.3,9.756,-1.9704,3830.0
72,305.641364,43.072358,5.22,298.21649508619714,1.4,77.6,25.32,2.06,0.62,0.161,0.009,0.154,5.343,5.214,5.201,A6 V,,,3.4,7.593,-1.1052,8478.0
73,105.665628,34.977811,7.78,483.9074957349255,0.86,45.86,96.94,2.0,0.97,0.42,0.012,0.471,8.109,7.802,7.733,,,,2.1,11.204,-2.5496,6776.0
74,243.763038,-40.30788,7.37,757.0134579739469,1.04,0.29,33.43,1.1,0.54,0.861,0.026,0.886,8.079,7.473,7.28,,,G,1.3,11.766,-2.7744,5103.0
75,151.526305,-17.391323,10.01,207.26020479640124,0.93,-78.47,19.66,0.3,0.3,1.512,0.008,1.626,11.287,10.161,9.858,M1 III,,G,4.8,11.593,-2.7052,3776.0
76,245.416577,-60.254069,9.16,363.3258115150184,1.6,34.71,-69.64,0.32,1.64,1.535,0.018,1.77,10.48,9.284,8.998,M5 IV,,,2.8,11.961,-2.8524,3742.0
77,79.642076,-43.905168,6.34,454.18713114474804,0.9,331.59356100859793,214.61589051478344,1.47,1.01,1.566,0.008,1.791,7.682,6.488,6.182,M0 V,,,2.2,9.626,-1.9184,3697.0
78,197.639171,44.958374,7.82,664.2466558159324,1.03,27.47,-8.62,1.79,3.25,1.555,0.014,1.725,9.143,7.97,7.645,M9 V,,C,1.5,11.932,-2.8408,3713.0
79,305.584819,53.850653,5.31,321.39940738187556,0.56,-95.59,-70.98,0.87,1.79,0.278,0.009,0.285,5.561,5.349,5.293,F3 IV,,,3.1,7.845,-1.206,7605.0
80,265.164084,22.932423,6.28,219.72255312641857,1.08,-2.09,-57.22,1.57,1.64,1.562,0.009,1.735,7.611,6.415,6.125,M5 V,,,4.6,7.989,-1.2636,3703.0
81,179.864131,24.034941,5.8,458.3339641820224,0.82,-46.96,-43.68,2.0,0.79,0.745,0.023,0.746,6.453,5.871,5.736,G2 V,,,2.2,9.106,-1.7104,5452.0
82,136.679398,56.358162,6.1,257.4297755295734,1.53,-62.61,-24.66,1.26,0.84,0.914,0.017,1.097,6.898,6.178,6.007,K2 V,,,3.9,8.153,-1.3292,4959.0
83,283.507492,-68.566838,9.51,740.2274992911211,0.87,-5.99,75.29,0.59,1.9,0.394,0.022,0.425,9.83,9.546,9.463,F9 V,D,,1.4,13.857,-3.6108,6912.0
84,60.792951,-21.957616,5.85,569.6487445091111,1.77,-59.89,8.61,2.14,1.03,1.485,0.005,1.595,7.109,5.979,5.694,,R,,1.8,9.628,-1.9192,3816.0
85,211.089101,34.08866,5.97,280.79273920358503,0.46,-54.93,42.99,1.63,0.3,1.42,0.01,1.583,7.176,6.096,5.832,,P,,3.6,8.212,-1.3528,3918.0
86,155.235841,-31.370201,8.51,252.11883444704443,0.95,-7.03,-87.95,1.19,0.61,1.41,0.025,1.549,9.711,8.645,8.365,,,V,4.0,10.518,-2.2752,3934.0
87,22.287667,34.487925,5.12,535.1008469904332,0.8,-4.56,20.49,1.06,1.22,1.605,0.026,1.722,6.443,5.29,4.959,M3 V,,,1.9,8.762,-1.5728,3642.0
88,104.203719,7.613418,10.45,450.29228403877215,1.25,24.53,-129.15,1.98,0.93,1.58,0.003,1.675,11.829,10.593,10.289,M5 V,,,2.2,13.717,-3.5548,3677.0
89,264.292343,37.174054,10.6,468.9761368687393,0.92,-50.57,-74.97,1.45,1.23,1.397,0.005,1.63,11.802,10.725,10.459,M5 V,,,2.1,13.956,-3.6504,3955.0
90,103.915964,-5.169694,12.5,210.96232995474833,1.58,34.51,1.53,1.6,0.72,0.929,0.022,0.992,13.284,12.58,12.412,,,,4.7,14.121,-3.7164,4920.0
91,140.543321,21.498629,8.65,282.0869699462944,1.19,22.78,46.39,0.77,1.4,1.343,0.006,1.475,9.787,8.761,8.527,M9 V,,,3.5,10.902,-2.4288,4046.0
92,228.822237,3.056837,10.86,243.88104981091465,0.65,-22.86,23.08,1.96,1.22,1.377,0.011,1.552,12.021,10.985,10.729,,,,4.1,12.796,-3.1864,3988.0
93,299.213588,59.784943,7.62,759.8462142904981,2.09,-13.57,25.11,1.11,0.89,0.485,0.018,0.535,8.033,7.665,7.571,F7 V,,,1.3,12.024,-2.8776,6458.0
94,114.99156,-67.293495,9.63,276.692242665398,1.43,76.33,43.04,1.31,1.13,1.546,0.014,1.767,10.955,9.778,9.481,M7 V,,X,3.6,11.84,-2.804,3726.0
95,57.320924,11.866423,8.22,384.13679810835725,0.87,-32.35,9.49,2.26,1.12,0.116,0.018,0.157,8.343,8.226,8.207,A9 V,,,2.6,11.142,-2.5248,8876.0
96,256.199118,1.560275,9.26,299.0345370778646,0.55,64.34,82.36,1.39,0.76,0.269,0.01,0.259,9.485,9.291,9.247,F9 V,,,3.3,11.639,-2.7236,7665.0
97,314.175112,54.585792,7.75,298.0096248334353,1.36,0.44,29.62,1.3,1.72,0.412,0.015,0.519,8.11,7.772,7.713,,,,3.4,10.121,-2.1164,6817.0
98,213.536292,-30.894399,8.91,321.72675599764455,1.02,-48.48,-31.13,1.61,1.41,0.391,0.031,0.496,9.213,8.939,8.867,F7 V,,,3.1,11.447,-2.6468,6929.0
99,250.096636,-11.825315,7.71,268.5976221743755,1.35,45.2,-47.33,1.36,1.52,0.255,0.018,0.333,7.955,7.716,7.679,A4 V,,,3.7,9.856,-2.0104,7760.0
100,62.363995,-39.623254,6.4,286.4959400471482,0.47,73.56,-12.12,0.98,1.79,1.009,0.007,1.165,7.222,6.481,6.296,K0 V,,,3.5,8.686,-1.5424,4721.0
101,191.423733,-65.76246,8.13,538.8278175266695,1.16,43.5,-52.61,0.3,0.81,1.561,0.024,1.778,9.469,8.273,7.97,,,,1.9,11.787,-2.7828,3704.0
102,313.545103,-7.240953,9.8,145.65587851932028,0.69,16.97,-29.97,0.89,1.25,1.47,0.025,1.649,11.022,9.944,9.644,,,,6.9,10.617,-2.3148,3839.0
103,302.792496,-24.979511,7.46,176.50845097865192,1.73,119.61,75.36,0.58,1.51,1.583,0.025,1.742,8.79,7.614,7.316,M8 V,,G,5.7,8.694,-1.5456,3673.0
104,349.939994,58.11642,9.32,423.382467274283,0.2,38.86,29.53,0.4,1.15,0.433,0.012,0.442,9.696,9.368,9.287,F5 V,,O,2.4,12.454,-3.0496,6709.0
105,281.612595,-12.236049,9.89,552.6678588795219,0.28,32.13,5.23,0.31,0.89,1.443,0.025,1.639,11.107,10.018,9.742,M1 V,,,1.8,13.602,-3.5088,3881.0
106,70.930982,-18.60706,6.01,452.8844074043433,1.11,18.63,-65.03,1.06,1.01,1.319,0.013,1.452,7.117,6.132,5.878,M0 V,S,,2.2,9.29,-1.784,4088.0
107,219.825384,29.36546,8.23,219.9138814686754,1.55,-16.8,59.39,1.16,0.86,1.523,0.006,1.727,9.532,8.367,8.085,,,,4.5,9.941,-2.0444,3759.0
108,172.387982,37.440634,8.13,744.3026404928215,1.44,-74.97,-29.81,1.47,1.17,0.32,0.027,0.3,8.39,8.159,8.108,A8 II,,,1.3,12.489,-3.0636,7337.0
109,221.989319,-9.057704,8.67,532.1592255622912,0.34,23.31,32.86,1.06,1.68,1.61,0.018,1.825,10.042,8.819,8.523,M3 II,,,1.9,12.3,-2.988,3635.0
110,50.375968,13.970377,5.63,639.1920862961066,0.88,2.56,6.56,1.74,1.24,1.097,0.015,1.179,6.565,5.743,5.517,K0 II,C,,1.6,9.658,-1.9312,4521.0
111,148.044894,49.156779,10.49,542.0069070407579,1.33,1.34,-38.58,1.45,0.89,1.598,0.014,1.805,11.847,10.622,10.333,M1 V,,,1.8,14.16,-3.732,3652.0
112,279.946922,7.831874,9.63,537.0736768401327,0.2,8.75,-13.02,1.13,0.53,1.091,0.033,1.224,10.502,9.712,9.524,K9 V,,,1.9,13.28,-3.38,4534.0
113,338.301187,-7.585474,5.8,329.97141896530877,1.08,-72.97621998143866,-195.28170851452404,1.28,1.44,0.448,0.023,0.526,6.178,5.835,5.747,,,,3.0,8.392,-1.4248,6635.0
114,37.648587,43.803148,8.52,240.33637411800794,2.23,-38.53,-67.72,0.98,1.67,0.669,0.014,0.751,9.107,8.563,8.455,,,,4.2,10.424,-2.2376,5710.0
115,337.853591,6.14262,9.12,719.923680020452,1.18,54.79,-33.12,1.36,1.07,1.459,0.027,1.554,10.39,9.265,8.975,M5 III,,,1.4,13.406,-3.4304,3856.0
116,287.059382,3.46139,9.52,403.6162783269941,1.8,-24.32,-29.82,1.7,1.02,0.507,0.017,0.575,9.932,9.548,9.473,F5 II,R,,2.5,12.55,-3.088,6357.0
117,119.088979,14.44168,9.03,286.0002019705041,1.11,-20.04,6.57,1.1,0.53,1.124,0.023,1.232,9.972,9.135,8.923,K7 IV,,,3.5,11.312,-2.5928,4463.0
118,112.24287,-36.715242,12.5,711.0169202839002,0.5,12.15,14.47,0.97,2.19,1.396,0.014,1.492,13.712,12.634,12.37,,,O,1.4,16.759,-4.7716,3957.0
119,104.455375,10.016395,6.97,519.3125027843716,1.24,-111.12,37.67,0.34,1.01,1.493,0.029,1.733,8.257,7.111,6.828,M6 V,,G,1.9,10.547,-2.2868,3804.0
120,62.600253,1.097331,8.89,127.34571199552542,0.73,-145.5,39.7,1.39,2.25,1.721,0.009,1.873,10.327,9.065,8.734,M2 V,S,C,7.9,9.415,-1.834,3489.0
121,317.21384,40.773799,7.57,471.0320314859525,0.66,-7.49,20.49,1.34,1.55,1.513,0.011,1.59,8.852,7.713,7.41,M7 IV,,,2.1,10.935,-2.442,3774.0
122,295.220335,-20.499109,9.51,409.6932448266529,1.31,-5.57,-53.58,1.87,1.79,0.801,0.013,0.869,10.2,9.582,9.423,,,,2.4,12.572,-3.0968,5278.0
123,265.197196,-40.362711,8.97,195.18091859894184,0.53,-6.04,14.38,1.53,1.78,1.326,0.006,1.566,10.096,9.099,8.848,M5 V,,,5.1,10.422,-2.2368,4075.0
124,304.908563,-62.525926,10.1,445.7936689984881,0.64,-11.31,5.11,2.21,2.64,0.783,0.016,0.794,10.813,10.176,10.018,K0 V,,,2.2,13.346,-3.4064,5332.0
125,219.281625,-27.891528,11.55,190.59735764617898,0.81,-55.86,51.57,1.42,1.11,0.601,0.014,0.61,12.063,11.602,11.515,,,,5.2,12.951,-3.2484,5964.0
126,123.923882,28.795151,9.56,189.25425414967972,1.55,38.2,-81.33,1.35,1.45,-0.221,0.033,-0.279,9.39,9.55,9.576,B7 V,,,5.3,10.945,-2.446,14113.0
127,82.680837,18.884581,6.04,150.27652192581417,0.93,39.19,-41.15,0.91,1.16,1.282,0.011,1.451,7.134,6.147,5.908,K3 IV,,,6.7,6.924,-0.8376,4154.0
128,340.065284,46.0019,8.77,262.930472008784,1.88,28.04,-24.81,1.11,1.47,0.05,0.013,0.063,8.77,8.765,8.764,A4 V,,,3.8,10.869,-2.4156,9542.0
129,105.021256,-57.432563,2.76,309.2706567883626,1.14,-70.34,-97.71,1.13,1.32,0.599,0.016,0.731,3.266,2.825,2.701,,,X,3.2,5.212,-0.1528,5971.0
130,147.616051,59.641638,10.7,162.9456987434987,0.22,18.11,140.76,0.97,1.58,1.799,0.011,1.875,12.235,10.872,10.509,,,,6.1,11.76,-2.772,3393.0
131,121.559139,14.087086,7.4,303.66129742027357,1.82,-30.19,-21.57,1.05,1.24,1.523,0.005,1.61,8.72,7.547,7.255,M4 V,,,3.3,9.812,-1.9928,3759.0
132,341.758294,-57.045311,12.5,170.82136839851074,0.54,-118.93,0.28,0.42,0.5,-0.06,0.029,-0.083,12.46,12.495,12.49,,,X,5.9,13.663,-3.5332,10941.0
133,83.134416,51.665257,7.67,345.97075708039915,1.51,30.69,-84.85,1.21,1.07,1.372,0.008,1.532,8.828,7.779,7.547,M1 Ib,,,2.9,10.365,-2.214,3997.0
134,61.009934,-16.631248,7.19,369.24609035630135,0.2,22.46,31.55,0.78,1.4,0.693,0.013,0.748,7.771,7.266,7.116,,C,,2.7,10.027,-2.0788,5626.0
135,176.723148,30.144934,7.81,710.8254781791541,0.61,61.85,-94.48,1.81,0.48,1.31,0.019,1.44,8.925,7.924,7.694,M3 V,,,1.4,12.069,-2.8956,4104.0
136,325.711241,20.700328,7.33,728.1544588246065,1.6,69.25,-6.57,0.3,0.64,1.363,0.013,1.463,8.456,7.442,7.203,M2 V,,,1.4,11.641,-2.7244,4012.0
137,318.239887,6.113544,10.59,412.15553555985355,0.2,18.76,-14.06,0.86,1.22,-0.173,0.011,-0.091,10.434,10.566,10.605,,,,2.4,13.665,-3.534,12967.0
138,70.168173,42.609007,10.01,758.1022299388538,0.8,-0.73,12.52,0.3,0.72,1.481,0.017,1.633,11.286,10.149,9.854,M0 II,,,1.3,14.409,-3.8316,3822.0
139,187.278468,-49.647644,7.74,403.30549454527886,0.5,15.52,45.47,1.11,0.72,1.224,0.02,1.29,8.76,7.839,7.607,M7 V,,,2.5,10.768,-2.3752,4262.0
140,62.963757,58.231946,8.2,727.9204159256649,0.84,-41.81,10.98,1.15,0.97,0.38,0.022,0.458,8.513,8.235,8.162,F2 V,,,1.4,12.51,-3.072,6989.0
141,323.836516,21.061665,9.24,726.6408552750838,1.5,-0.22,1.42,1.43,1.41,0.048,0.02,0.063,9.27,9.245,9.222,A5 V,,,1.4,13.547,-3.4868,9563.0
142,136.15176,16.315004,9.06,360.9159880355202,1.13,-56.64,26.35,1.31,1.11,1.249,0.012,1.302,10.146,9.163,8.928,M9 IV,,O,2.8,11.847,-2.8068,4215.0
143,253.037262,52.606262,8.51,300.57164728251433,1.56,-8.33,-18.22,0.62,2.58,1.298,0.007,1.506,9.653,8.626,8.379,M7 V,,G,3.3,10.9,-2.428,4125.0
144,184.228363,-17.441258,7.78,236.90021465135538,0.54,9.01,1.55,1.33,0.56,1.523,0.014,1.601,9.064,7.904,7.628,,,,4.2,9.653,-1.9292,3759.0
145,228.546382,-35.167115,9.45,560.6668310044922,0.83,28.81,100.62,1.17,0.97,1.658,0.006,1.858,10.881,9.596,9.292,M1 V,,,1.8,13.194,-3.3456,3570.0
